Rank,Team,Year,정렬,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,WAR
91,SSG,24,20.72,144,144,561,144,0,0,72,70,33,80,1269.2,740,814,814.00,5737,1341,,,163,630,74,24,1195,,4,57,5.25,5.77,5.77,4.95,1.55,20.72
92,LG,19,20.42,144,144,455,144,1,0,79,64,43,62,1283.1,551,633,633.00,5555,1257,,,89,499,91,15,953,,1,64,3.86,4.44,4.44,4.13,1.37,20.42
93,두산,06,20.30,126,126,310,126,7,3,63,60,39,29,1115.2,416,467,467.00,4690,968,,,69,424,69,13,834,,1,55,3.36,3.77,3.77,3.23,1.25,20.30
94,SK,17,20.30,144,144,464,144,2,1,75,68,30,64,1270.2,709,767,767.00,5692,1443,,,154,481,105,35,940,,7,61,5.02,5.43,5.43,5.07,1.51,20.30
95,한화,07,20.29,126,126,324,126,9,3,67,57,39,36,1119.0,440,481,481.00,4781,1084,,,84,451,53,24,741,,4,38,3.54,3.87,3.87,3.72,1.37,20.29
96,키움,21,20.02,144,144,487,144,1,1,70,67,30,56,1263.1,605,700,700.00,5599,1281,,,101,566,80,27,900,,4,59,4.31,4.99,4.99,4.36,1.46,20.02
97,KIA,22,19.98,144,144,531,144,0,0,70,73,38,74,1279.2,597,679,679.00,5636,1286,,,120,526,67,20,1042,,2,56,4.20,4.78,4.78,4.21,1.42,19.98
98,SSG,23,19.80,144,144,497,144,1,0,76,65,46,71,1288.1,626,698,698.00,5722,1354,,,104,612,67,20,974,,3,61,4.37,4.88,4.88,4.49,1.53,19.80
99,두산,12,19.75,133,133,380,133,9,3,68,62,38,47,1193.1,476,519,519.00,5012,1053,,,66,491,57,17,802,,4,57,3.59,3.91,3.91,3.83,1.29,19.75
100,삼성,07,19.67,126,126,421,126,0,0,62,60,41,51,1131.2,467,509,509.00,4824,1091,,,90,400,58,7,719,,5,35,3.71,4.05,4.05,3.78,1.32,19.67
101,삼성,16,19.55,144,144,503,144,2,0,65,78,34,60,1282.1,804,869,869.00,5799,1507,,,193,518,87,6,935,,8,52,5.64,6.10,6.10,5.60,1.58,19.55
102,현대,06,19.54,126,126,366,126,2,1,70,55,41,45,1114.2,426,467,467.00,4771,1053,,,69,394,71,0,816,,0,39,3.44,3.77,3.77,3.23,1.30,19.54
103,롯데,22,19.46,144,144,531,144,0,0,64,76,34,69,1280.2,633,712,712.00,5686,1373,,,84,492,80,21,1199,,1,72,4.45,5.00,5.00,3.52,1.46,19.46
104,롯데,10,19.44,133,133,409,133,7,3,69,61,21,37,1194.0,645,710,710.00,5204,1291,,,149,419,78,41,779,,3,49,4.86,5.35,5.35,4.76,1.43,19.44
105,NC,13,19.44,128,128,382,128,5,1,52,72,26,31,1144.1,503,551,551.00,4919,1077,,,96,458,94,13,857,,6,60,3.96,4.33,4.33,4.35,1.34,19.44
106,넥센,10,19.38,133,133,464,133,1,1,52,78,27,39,1185.2,600,652,652.00,5231,1162,,,122,614,95,17,832,,3,66,4.55,4.95,4.95,4.97,1.50,19.38
107,롯데,16,19.33,144,144,523,144,2,1,66,78,27,59,1266.1,792,865,865.00,5785,1486,,,161,585,78,27,1009,,5,82,5.63,6.15,6.15,5.22,1.64,19.33
108,SSG,21,19.25,144,143,516,144,0,0,66,64,25,56,1276.2,684,741,741.00,5706,1296,,,149,629,78,27,1012,,9,41,4.82,5.22,5.22,4.78,1.51,19.25
109,KIA,18,19.20,144,144,431,144,4,0,70,74,26,43,1270.2,763,826,826.00,5708,1511,,,181,445,69,28,1017,,3,65,5.40,5.85,5.85,5.14,1.54,19.20
110,삼성,06,19.03,126,126,387,126,1,0,73,50,49,65,1118.0,414,471,471.00,4699,1030,,,100,365,63,9,781,,7,21,3.33,3.79,3.79,3.51,1.25,19.03
111,SK,13,19.00,128,128,394,128,4,1,62,63,31,38,1139.0,527,571,571.00,4932,1091,,,101,505,70,15,878,,5,66,4.16,4.51,4.51,4.43,1.40,19.00
112,KIA,20,18.96,144,144,495,144,1,1,73,71,33,79,1270.0,724,795,795.00,5681,1399,,,120,559,70,8,1038,,4,79,5.13,5.63,5.63,4.50,1.54,18.96
113,두산,10,18.94,133,133,426,133,2,0,73,57,30,56,1179.2,607,669,669.00,5131,1190,,,135,437,85,6,888,,2,58,4.63,5.10,5.10,4.50,1.38,18.94
114,한화,15,18.94,144,144,528,144,5,3,68,76,32,44,1279.2,727,800,800.00,5771,1349,,,157,648,96,38,920,,9,85,5.11,5.63,5.63,5.44,1.56,18.94
115,NC,24,18.75,144,144,548,144,0,0,61,81,22,65,1275.2,708,801,801.00,5694,1389,,,137,531,67,9,1061,,6,47,5.00,5.65,5.65,4.76,1.51,18.75
116,삼성,09,18.67,133,133,411,133,3,1,64,69,32,45,1163.2,644,700,700.00,5209,1226,,,141,609,56,9,905,,1,67,4.98,5.41,5.41,4.76,1.58,18.67
117,SK,12,18.67,133,133,416,133,0,0,71,59,40,69,1181.1,502,528,528.00,5007,1114,,,90,457,70,26,814,,7,35,3.82,4.02,4.02,3.93,1.33,18.67
118,LG,16,18.21,144,144,532,144,2,2,71,71,34,75,1287.2,721,807,807.00,5782,1426,,,122,539,109,27,909,,1,84,5.04,5.64,5.64,5.08,1.53,18.21
119,한화,05,18.12,126,126,423,126,2,1,64,61,36,43,1111.0,545,603,603.00,4870,1193,,,111,389,88,9,662,,2,35,4.41,4.88,4.88,4.36,1.42,18.12
120,KT,18,17.95,144,144,487,144,4,1,59,82,24,45,1274.1,756,834,834.00,5743,1580,,,194,409,84,25,1025,,1,63,5.34,5.89,5.89,5.21,1.56,17.95
121,KIA,11,17.90,133,133,382,133,7,4,70,63,29,37,1163.2,536,580,580.00,4991,1117,,,87,457,76,14,920,,6,51,4.15,4.49,4.49,3.81,1.35,17.90
122,넥센,12,17.77,133,133,360,133,3,1,61,69,36,34,1187.1,505,551,551.00,5116,1131,,,80,535,74,9,853,,0,62,3.83,4.18,4.18,4.03,1.40,17.77
123,키움,23,17.59,144,144,539,144,1,0,58,83,33,61,1288.1,632,710,710.00,5704,1340,,,84,532,63,18,962,,7,56,4.42,4.96,4.96,4.14,1.45,17.59
124,롯데,21,17.50,144,144,588,144,1,1,65,71,37,76,1271.0,758,808,808.00,5759,1333,,,133,658,88,19,1054,,5,102,5.37,5.72,5.72,4.64,1.57,17.50
125,KIA,10,17.40,133,133,406,133,4,1,59,74,25,40,1183.2,578,641,641.00,5205,1227,,,93,468,81,19,885,,4,53,4.39,4.87,4.87,4.14,1.43,17.40
126,삼성,19,17.31,144,144,483,144,4,4,60,83,29,60,1275.1,658,731,731.00,5638,1332,,,125,523,70,9,924,,5,49,4.64,5.16,5.16,4.50,1.45,17.31
127,SK,14,17.26,128,128,427,128,2,0,61,65,26,44,1129.1,692,760,760.00,5112,1271,,,153,522,68,19,837,,1,67,5.51,6.06,6.06,5.49,1.59,17.26
128,롯데,05,17.19,126,126,368,126,2,0,58,67,33,24,1120.1,536,573,573.00,4845,1097,,,91,408,89,41,817,,1,44,4.31,4.60,4.60,3.80,1.34,17.19
129,삼성,23,16.77,144,144,547,144,1,0,61,82,38,69,1278.1,654,728,728.00,5676,1414,,,120,464,52,19,899,,7,51,4.60,5.13,5.13,4.37,1.47,16.77
130,두산,15,16.72,144,144,479,144,3,2,79,65,30,57,1286.0,718,776,776.00,5762,1385,,,138,584,77,15,1064,,11,72,5.02,5.43,5.43,4.83,1.53,16.72
131,KIA,12,16.68,133,133,402,133,11,6,62,65,27,33,1183.2,513,564,564.00,5101,1161,,,69,452,68,13,822,,6,56,3.90,4.29,4.29,3.73,1.36,16.68
132,키움,24,16.55,144,144,494,144,0,0,58,86,23,48,1272.2,729,796,796.00,5708,1416,,,150,497,88,15,921,,7,64,5.16,5.63,5.63,5.08,1.50,16.55
133,한화,23,16.44,144,144,608,144,0,0,58,80,20,68,1291.2,628,708,708.00,5682,1292,,,101,518,103,23,1037,,7,73,4.38,4.93,4.93,4.21,1.40,16.44
134,넥센,11,16.36,133,133,476,133,0,0,51,80,30,66,1171.1,570,622,622.00,5195,1167,,,81,601,76,16,830,,1,73,4.38,4.78,4.78,4.33,1.51,16.36
135,KIA,08,16.32,126,126,387,126,3,1,57,69,29,26,1124.0,510,555,555.00,4850,1078,,,65,473,77,9,733,,5,52,4.08,4.44,4.44,4.03,1.38,16.32
136,KIA,21,16.17,144,144,532,144,1,0,58,76,36,94,1269.0,690,752,752.00,5701,1286,,,134,622,104,5,951,,9,59,4.89,5.33,5.33,4.81,1.50,16.17
137,KIA,19,16.14,144,144,459,144,3,2,62,80,30,64,1264.0,653,723,723.00,5614,1362,,,101,504,76,17,976,,2,51,4.65,5.15,5.15,4.12,1.48,16.14
138,두산,11,16.08,133,133,397,133,4,2,61,70,34,46,1188.2,570,619,619.00,5170,1231,,,96,476,75,19,855,,6,70,4.32,4.69,4.69,4.14,1.44,16.08
139,우리,08,15.97,126,126,384,126,4,2,50,76,29,36,1125.1,555,609,609.00,4933,1159,,,91,465,70,20,729,,2,46,4.44,4.87,4.87,4.24,1.44,15.97
140,LG,18,15.78,144,144,457,144,3,2,68,75,29,43,1268.2,746,816,816.00,5677,1434,,,159,453,89,13,1058,,4,72,5.29,5.79,5.79,4.95,1.49,15.78
141,한화,17,15.75,144,144,490,144,1,0,61,81,31,49,1273.0,747,820,820.00,5698,1474,,,166,446,100,13,914,,4,77,5.28,5.80,5.80,5.17,1.51,15.75
142,LG,11,15.73,133,133,431,133,3,1,59,72,30,50,1193.2,552,620,620.00,5209,1173,,,80,512,71,20,827,,6,52,4.16,4.67,4.67,4.14,1.41,15.73
143,삼성,08,15.57,126,126,409,126,0,0,65,61,40,48,1123.1,552,596,596.00,4867,1184,,,87,416,43,4,703,,4,49,4.42,4.78,4.78,4.09,1.42,15.57
144,KIA,13,15.54,128,128,423,128,2,0,51,74,32,50,1142.1,650,711,711.00,5200,1307,,,88,533,75,12,923,,6,73,5.12,5.60,5.60,4.28,1.61,15.54
145,한화,21,15.51,144,144,573,144,1,0,49,83,21,62,1258.2,650,739,739.00,5672,1208,,,115,673,101,23,1011,,11,56,4.65,5.28,5.28,4.59,1.49,15.51
146,LG,12,15.50,133,133,443,133,1,0,57,72,35,64,1202.0,537,580,580.00,5188,1235,,,65,422,71,23,735,,6,57,4.02,4.34,4.34,3.83,1.38,15.50
147,한화,16,15.23,144,144,536,144,1,0,66,75,24,39,1292.2,827,908,908.00,5937,1520,,,155,634,76,23,976,,6,72,5.76,6.32,6.32,5.44,1.67,15.23
148,KT,15,15.08,144,144,508,144,3,0,52,91,16,31,1266.2,782,875,875.00,5799,1518,,,154,577,87,17,1046,,4,86,5.56,6.22,6.22,4.96,1.65,15.08
149,롯데,07,15.05,126,126,397,126,2,0,55,68,22,24,1120.2,515,554,554.00,4871,1164,,,93,414,69,40,704,,4,46,4.14,4.45,4.45,3.80,1.41,15.05
150,KIA,14,14.90,128,128,379,128,2,1,54,74,26,40,1121.2,725,788,788.00,5143,1289,,,116,561,67,8,896,,1,78,5.82,6.32,6.32,5.07,1.65,14.90
151,LG,10,14.20,133,133,513,133,3,1,57,71,31,59,1188.0,693,746,746.00,5326,1279,,,125,560,104,23,793,,6,74,5.25,5.65,5.65,4.95,1.55,14.20
152,두산,14,13.91,128,128,436,128,4,0,59,68,19,61,1123.2,678,733,733.00,5066,1311,,,121,450,58,4,840,,4,56,5.43,5.87,5.87,4.94,1.57,13.91
153,LG,07,13.87,126,126,431,126,2,1,58,62,34,58,1135.2,548,600,600.00,5014,1181,,,63,514,52,21,630,,2,48,4.34,4.75,4.75,3.97,1.49,13.87
154,삼성,17,13.82,144,144,469,144,1,0,55,84,27,34,1281.1,837,911,911.00,5916,1541,,,187,548,118,15,1063,,4,74,5.88,6.40,6.40,5.39,1.63,13.82
155,한화,08,13.79,126,126,361,126,3,1,64,62,36,39,1129.2,556,595,595.00,4911,1136,,,95,519,49,28,723,,4,37,4.43,4.74,4.74,4.38,1.47,13.79
156,NC,18,13.75,144,144,478,144,1,0,58,85,24,51,1264.0,769,844,844.00,5701,1443,,,186,537,68,17,1010,,6,92,5.48,6.01,6.01,5.42,1.57,13.75
157,한화,19,13.47,144,144,505,144,2,0,58,86,28,43,1268.2,677,737,737.00,5656,1407,,,120,526,72,9,934,,4,66,4.80,5.23,5.23,4.45,1.52,13.47
158,KT,17,13.44,144,144,444,144,4,2,50,94,22,41,1256.0,803,876,876.00,5702,1524,,,174,433,95,11,913,,6,77,5.75,6.28,6.28,5.15,1.56,13.44
159,우리,09,13.25,133,133,448,133,0,0,60,72,29,32,1174.1,711,762,762.00,5221,1231,,,176,565,61,19,840,,5,51,5.45,5.84,5.84,5.15,1.53,13.25
160,SK,06,12.37,126,126,438,126,0,0,60,65,33,52,1124.0,475,535,535.00,4819,1071,,,85,446,83,24,701,,2,26,3.80,4.28,4.28,3.78,1.35,12.37
161,한화,20,12.19,144,144,561,144,1,1,46,95,21,54,1265.0,742,820,820.00,5756,1400,,,158,609,79,22,1019,,5,76,5.28,5.83,5.83,5.01,1.59,12.19
162,롯데,19,12.17,144,144,520,144,1,1,48,93,16,47,1271.0,682,764,764.00,5729,1407,,,120,546,71,33,1033,,4,103,4.83,5.41,5.41,4.28,1.54,12.17
163,한화,09,12.05,133,133,444,133,4,2,46,84,16,34,1174.0,745,805,805.00,5346,1335,,,176,569,77,28,908,,5,56,5.71,6.17,6.17,5.03,1.62,12.05
164,LG,09,11.77,133,133,465,133,0,0,54,75,25,38,1175.0,707,763,763.00,5339,1316,,,165,585,91,10,777,,1,56,5.42,5.84,5.84,5.33,1.62,11.77
165,한화,10,11.71,133,133,423,133,6,4,49,82,24,28,1169.1,705,763,763.00,5267,1290,,,146,551,72,17,806,,5,65,5.43,5.87,5.87,4.98,1.57,11.71
166,현대,05,11.62,126,126,370,126,2,0,53,70,28,22,1115.2,583,647,647.00,4930,1175,,,125,422,80,2,803,,3,43,4.70,5.22,5.22,4.28,1.43,11.62
167,SK,20,11.45,144,144,542,144,1,0,51,92,20,53,1259.1,780,846,846.00,5727,1343,,,162,670,84,12,953,,5,85,5.57,6.05,6.05,5.32,1.60,11.45
168,현대,07,11.40,126,126,424,126,1,0,56,69,27,46,1127.0,554,615,615.00,4906,1104,,,119,466,48,20,796,,4,32,4.42,4.91,4.91,4.02,1.39,11.40
169,두산,13,11.40,128,128,409,128,1,0,71,54,30,42,1150.1,584,625,625.00,5043,1183,,,84,514,76,10,848,,6,55,4.57,4.89,4.89,4.39,1.48,11.40
170,KT,16,11.23,144,144,549,144,1,1,53,89,27,48,1273.0,838,927,927.00,5896,1593,,,145,560,84,9,980,,9,77,5.92,6.55,6.55,5.13,1.69,11.23
171,롯데,06,10.87,126,126,401,126,5,1,50,73,28,34,1118.2,482,541,541.00,4822,1128,,,83,410,60,30,637,,1,30,3.88,4.35,4.35,3.71,1.37,10.87
172,KIA,05,10.81,126,126,391,126,8,1,49,76,24,26,1105.0,595,659,659.00,4975,1166,,,138,510,119,16,786,,3,59,4.85,5.37,5.37,4.75,1.52,10.81
173,한화,22,10.77,144,144,605,144,1,0,46,96,25,81,1268.1,680,759,759.00,5710,1314,,,112,602,83,39,974,,4,65,4.83,5.39,5.39,4.42,1.51,10.77
174,두산,22,10.59,144,144,526,144,0,0,60,82,32,68,1279.1,632,721,721.00,5700,1336,,,117,555,70,11,977,,5,69,4.45,5.07,5.07,4.40,1.48,10.59
175,KIA,07,10.45,126,126,404,126,2,1,51,74,26,27,1109.2,557,602,602.00,4933,1109,,,103,526,97,28,670,,7,60,4.52,4.88,4.88,4.36,1.47,10.45
176,한화,12,10.08,133,133,417,133,3,0,53,77,29,54,1172.1,594,647,647.00,5092,1148,,,106,488,68,18,936,,3,82,4.56,4.97,4.97,3.91,1.40,10.08
177,LG,06,9.36,126,126,409,126,3,2,47,75,29,53,1110.0,521,574,574.00,4834,1144,,,87,439,60,23,625,,3,41,4.22,4.65,4.65,3.85,1.43,9.36
178,LG,08,9.30,126,126,401,126,1,0,46,80,25,40,1108.1,601,646,646.00,4976,1239,,,82,480,72,4,631,,3,46,4.88,5.25,5.25,4.40,1.55,9.30
179,LG,05,8.68,126,126,480,126,3,1,54,71,31,59,1102.1,600,666,666.00,4969,1212,,,109,480,80,27,781,,5,48,4.90,5.44,5.44,4.23,1.53,8.68
180,한화,11,7.90,133,133,428,133,4,1,59,72,26,36,1175.0,668,727,727.00,5280,1273,,,128,524,55,10,938,,2,91,5.12,5.57,5.57,4.35,1.53,7.90
181,한화,14,7.89,128,128,402,128,2,1,49,77,26,30,1129.0,796,889,889.00,5312,1451,,,162,537,81,14,748,,3,83,6.35,7.09,7.09,5.84,1.76,7.89
182,한화,13,5.98,128,128,410,128,2,0,42,85,22,34,1129.0,667,711,711.00,5073,1195,,,98,532,95,17,822,,8,89,5.32,5.67,5.67,4.61,1.53,5.98
